Set,Draw,RowType,7,6,5,4,3,2,1
Set2,Draw1,R4,225900684411,250064411,2506411,56411*,56411*,5411*,5411*
Set2,Draw1,R6,681100592244,611005244,6110524,61154*,61154*,1154*,1154*
Set2,Draw1,R8,001198622445,001162445,0116245,11645*,11645*,1145*,1145*
Set1,Draw1,DRAW_DATA,928,480,270,722,632,267,898
Set1,Draw1,R2,55244001167,552401167,554116*,554116*,55411**,55411**,55411**
Set1,Draw1,R4,25500644711,255064711,556411*,556411*,55411**,55411**,55411**
Set1,Draw1,R6,61170055244,611705524,611554*,611554*,11554**,11554**,11554**
Set1,Draw1,R8,70011624455,701162455,116455*,116455*,11455**,11455**,11455**
Set1,Draw2,R2,N/A,55240113667,55411366,55411366*,554116*,55411**,55411**
Set1,Draw2,R4,N/A,25506634711,55663411,55663411*,556411*,55411**,55411**
Set1,Draw2,R6,N/A,66117055324,66115534,66115534*,611554*,11554**,11554**
Set1,Draw2,R8,N/A,70113662455,11366455,11366455*,116455*,11455**,11455**
Set1,Draw3,R2,N/A,N/A,55941133667,5594113366,55941136*,5594113**,554113**
Set1,Draw3,R4,N/A,N/A,55966334711,5596633411,55963411*,5593411**,553411**
Set1,Draw3,R6,N/A,N/A,66117559334,6611559334,61155934*,1155934**,115534**
Set1,Draw3,R8,N/A,N/A,71193366455,1193366455,11936455*,1193455**,113455**
Set1,Draw4,R2,N/A,N/A,N/A,559941133866,5599411386,559941138**,5594113**
Set1,Draw4,R4,N/A,N/A,N/A,559966833411,5599683411,559983411**,5593411**
Set1,Draw4,R6,N/A,N/A,N/A,668115599334,6811559934,811559934**,1155934**
Set1,Draw4,R8,N/A,N/A,N/A,119983366455,1199836455,119983455**,1193455**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,5599440113886,559944011388**,559440113**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,5599068834411,559908834411**,559034411**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,6881105599344,881105599344**,110559344**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,0119988364455,011998834455**,011934455**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,5599440011388,5594400113*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,5599008834411,5590034411*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,8811005599344,1100559344*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,0011998834455,0011934455*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,55944001137
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,55900344711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,11700559344
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70011934455
,,,,,,,,,
=== Combined R2-only Table ===,,,,,,,,,
Set3,Draw1,,N/A,N/A,N/A,N/A,592244001186,52244001186,524400116
Set2,Draw1,,N/A,N/A,N/A,N/A,592244001186,524400116,5240116
Set1,Draw1,,N/A,N/A,N/A,N/A,55244001167,552401167,554116
Set1,Draw2,,N/A,N/A,N/A,N/A,N/A,55240113667,55411366
Set1,Draw3,,N/A,N/A,N/A,N/A,N/A,N/A,55941133667
Set1,Draw4,,N/A,N/A,N/A,N/A,N/A,N/A,559941133866
Set1,Draw5,,N/A,N/A,N/A,N/A,N/A,N/A,5599440113886
Set1,Draw6,,N/A,N/A,N/A,N/A,N/A,N/A,5599440011388
Set1,Draw7,,N/A,N/A,N/A,N/A,N/A,N/A,55944001137
,,,,,,,,,
,,,,,,,,,
