area,col,degenerate.empty,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vtrac,dr.win_vtrac_local_index,draw,final.canon3,final.len_is1,final.len_is2,final.len_is3,final.value,final_3canon,method,method.agree_count,methods.core_agreement,methods.early_fraction,mode,mode.agree_core,mode.len_delta_abs,mode.only_one,mode.time_to3_delta_abs,perm.count,perm.density,post3_span,pre.core3_hint,pre.mirror_pair,pre.orig_unique,score,sec.consensus_any,sec.consensus_strong,sec.pairwise_jaccard,sec.time_to3_max,sec.time_to3_min,section,sequence.steps_kept,sequence.steps_total,set,set.linger,set.memory_strength,set.repeat_new_box,stability.order_cue,stability.survival_frac3,state,tail.exact_len3,tail.final_len,tail.final_unique,tail.unique2,tail.wobble,terminal.is_3value,terminal.len,terminal.len_is1,terminal.len_is2,terminal.len_is3,terminal.unique,terminal.unique_1,terminal.unique_2,time_to_3,time_to_3_fast,traj.early_terminal,traj.first3,traj.reduction_slope,traj.time_to_3,vtrac.hot_source,vtrac.set,vtrac.v_hot,xcol.agree_count
LS1,5,1,,1,1,0,0,0,,0,0,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,6,6,1.0,combined,1,0,0,1,0.0,0.0,5.0,0,1,6,100.0,0,0,0.3333333333333333,3,1,Combined,7,9,Set3,0,0,0,0.3333333333333333,0.3333333333333333,NewJersey4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.1666666666666667,3,derived_from_DR,,0.0,1
LS1,5,1,,1,1,0,0,0,,0,0,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,6,6,1.0,own,1,0,0,1,0.0,0.0,2.0,0,1,6,100.0,0,0,0.27777777777777773,2,1,Combined,5,5,Set3,0,0,0,0.5,0.3333333333333333,NewJersey4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,1.75,2,derived_from_DR,,0.0,2
LS1,5,1,,1,1,0,0,0,,0,0,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,6,6,1.0,combined,1,0,0,1,0.0,0.0,4.0,0,1,6,100.0,0,0,0.27777777777777773,3,1,Combined,6,8,Set3,0,0,0,0.5,0.3333333333333333,NewJersey4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.4,3,derived_from_DR,,0.0,2
LS1,5,1,,1,1,0,0,0,,0,0,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,6,6,1.0,own,1,0,0,1,0.0,0.0,2.0,0,1,6,100.0,0,0,0.27777777777777773,2,1,Combined,5,5,Set3,0,0,0,0.5,0.3333333333333333,NewJersey4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,1.75,2,derived_from_DR,,0.0,0
LS1,5,1,,1,1,0,0,0,,0,0,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,6,6,1.0,combined,1,0,0,1,0.0,0.0,4.0,0,1,6,100.0,0,0,0.27777777777777773,3,1,Combined,6,8,Set3,0,0,0,0.5,0.3333333333333333,NewJersey4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.4,3,derived_from_DR,,0.0,0
LS1,5,1,,1,1,0,0,0,,0,0,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,6,6,1.0,own,1,0,0,1,0.0,0.0,9.0,0,1,6,100.0,0,0,0.27777777777777773,2,2,Combined,7,12,Set3,0,0,0,0.3333333333333333,0.3333333333333333,NewJersey4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,1.1666666666666667,2,derived_from_DR,,0.0,1
LS1,5,1,,1,1,0,0,0,,0,0,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,6,6,1.0,combined,1,0,0,1,0.0,0.0,5.0,0,1,6,100.0,0,0,0.27777777777777773,3,2,Combined,7,9,Set3,0,0,0,0.3333333333333333,0.3333333333333333,NewJersey4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.1666666666666667,3,derived_from_DR,,0.0,1
LS1,5,0,,1,1,0,0,0,6,0,0,-1,-1,-1,-1,Combined,0,-1,Draw1,6,1,0,0,6,6,T,6,6,1.0,own,1,0,0,1,1.0,0.5,2.0,0,1,6,100.0,0,0,0.27777777777777773,2,1,Combined,5,29,Set3,0,0,0,0.5,0.3333333333333333,NewJersey4,0,1,1,1,1,1,1,1,0,0,1,1,0,2,1,1,2,1.5,2,derived_from_DR,2,1.0,1
LS1,5,0,,1,1,0,0,0,6,0,0,-1,-1,-1,-1,Combined,0,-1,Draw1,6,1,0,0,6,6,T,6,6,1.0,combined,1,0,0,1,1.0,0.5,4.0,0,1,6,100.0,0,0,0.27777777777777773,3,1,Combined,6,57,Set3,0,0,0,0.5,0.3333333333333333,NewJersey4,0,1,1,1,1,1,1,1,0,0,1,1,0,3,1,1,3,1.2,3,derived_from_DR,2,1.0,1
LS1,7,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,3,3,0.6666666666666666,own,1,0,0,3,1.0,0.5,3.0,0,1,8,100.0,0,0,0.27777777777777773,4,4,Combined,7,29,Set2,0,0,0,0.5,0.25,NewJersey4,1,2,1,1,1,1,2,0,1,0,1,1,0,4,0,0,4,1.6666666666666667,4,derived_from_DR,2,1.0,0
LS1,7,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,3,3,0.6666666666666666,combined,1,0,0,3,1.0,0.5,6.0,0,1,8,100.0,0,0,0.611111111111111,7,3,Combined,10,57,Set2,0,0,0,0.5,0.25,NewJersey4,1,2,1,1,1,1,2,0,1,0,1,1,0,7,0,0,7,1.1111111111111112,7,derived_from_DR,2,1.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,3,3,0.6666666666666666,own,0,0,0,0,0.0,0.0,8.0,0,1,8,94.16666666666666,0,0,0.16666666666666666,3,2,Combined,7,12,Set2,0,0,0,0.3333333333333333,0.375,NewJersey4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2.0,3,derived_from_DR,,0.0,2
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,3,3,0.6666666666666666,combined,0,0,0,0,0.0,0.0,5.0,0,1,8,100.0,0,0,0.39999999999999997,3,2,Combined,8,9,Set2,0,0,0,0.25,0.375,NewJersey4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1.7142857142857142,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,3,3,0.6666666666666666,own,1,0,0,1,0.0,0.0,2.0,0,1,8,100.0,0,0,0.3611111111111111,2,1,Combined,5,5,Set2,0,0,0,0.5,0.25,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,3.0,2,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,3,3,0.6666666666666666,combined,1,0,0,1,0.0,0.0,4.0,0,1,8,100.0,0,0,0.3611111111111111,3,1,Combined,6,8,Set2,0,0,0,0.5,0.25,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,2.4,3,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,3,3,0.6666666666666666,own,1,0,0,1,0.0,0.0,9.0,0,1,8,100.0,0,0,0.3611111111111111,2,1,Combined,7,12,Set2,0,0,0,0.3333333333333333,0.25,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,3,3,0.6666666666666666,combined,1,0,0,1,0.0,0.0,5.0,0,1,8,100.0,0,0,0.27777777777777773,3,1,Combined,7,9,Set2,0,0,0,0.3333333333333333,0.25,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,2.0,3,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,3,3,0.6666666666666666,own,0,0,0,0,0.0,0.0,13.0,0,1,8,82.90555555555557,0,0,0.611111111111111,4,3,Combined,11,18,Set2,0,0,0,0.25,0.25,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,4,1.2,4,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,3,3,0.6666666666666666,combined,0,0,0,0,0.0,0.0,17.0,0,1,8,60.711111111111116,0,0,0.47222222222222215,4,3,Combined,11,22,Set2,0,0,0,0.25,0.375,NewJersey4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,4,1.2,4,derived_from_DR,,0.0,0
LS1,7,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,T,3,3,0.6666666666666666,own,1,0,0,1,1.0,0.5,2.0,0,1,8,100.0,0,0,0.27777777777777773,2,1,Combined,5,29,Set2,0,0,0,0.5,0.25,NewJersey4,1,2,1,1,1,1,2,0,1,0,1,1,0,2,1,1,2,2.5,2,derived_from_DR,2,1.0,1
LS1,7,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,T,3,3,0.6666666666666666,combined,1,0,0,1,1.0,0.5,4.0,0,1,8,100.0,0,0,0.3611111111111111,3,1,Combined,6,57,Set2,0,0,0,0.5,0.25,NewJersey4,1,2,1,1,1,1,2,0,1,0,1,1,0,3,1,1,3,2.0,3,derived_from_DR,2,1.0,1
LS1,6,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,3,3,1.0,own,1,0,0,1,1.0,0.5,2.0,0,1,7,100.0,0,0,0.3,4,2,Combined,5,29,Set2,0,0,0,0.5,0.42857142857142855,NewJersey4,0,2,1,0,1,1,2,0,1,0,1,1,0,2,1,1,2,2.0,2,derived_from_DR,2,1.0,0
LS1,6,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,4,4,1.0,combined,1,0,0,1,1.0,0.5,4.0,0,1,7,100.0,0,0,0.3,3,2,Combined,8,57,Set2,0,0,0,0.5,0.42857142857142855,NewJersey4,0,2,1,0,3,1,2,0,1,0,1,1,0,3,1,1,3,1.1428571428571428,3,derived_from_DR,2,1.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,3,3,1.0,own,0,0,0,1,0.0,0.0,9.0,0,1,7,87.65873015873014,0,0,0.2222222222222222,2,2,Combined,7,12,Set2,0,0,0,0.3333333333333333,0.42857142857142855,NewJersey4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1.6666666666666667,2,derived_from_DR,,0.0,2
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,4,4,1.0,combined,0,0,0,1,0.0,0.0,5.0,0,1,7,100.0,0,0,0.5555555555555555,3,2,Combined,7,9,Set2,0,0,0,0.3333333333333333,0.2857142857142857,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.6666666666666667,3,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,3,3,1.0,own,1,0,0,1,0.0,0.0,2.0,0,1,7,100.0,0,0,0.2333333333333333,2,1,Combined,5,5,Set2,0,0,0,0.5,0.2857142857142857,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.5,2,derived_from_DR,,0.0,1
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,4,4,1.0,combined,1,0,0,1,0.0,0.0,4.0,0,1,7,100.0,0,0,0.2333333333333333,3,1,Combined,6,8,Set2,0,0,0,0.5,0.2857142857142857,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,2.0,3,derived_from_DR,,0.0,1
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,3,3,1.0,own,1,0,0,1,0.0,0.0,9.0,0,1,7,100.0,0,0,0.2333333333333333,2,1,Combined,7,12,Set2,0,0,0,0.3333333333333333,0.2857142857142857,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,1.6666666666666667,2,derived_from_DR,,0.0,1
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,4,4,1.0,combined,1,0,0,1,0.0,0.0,5.0,0,1,7,100.0,0,0,0.2333333333333333,3,1,Combined,7,9,Set2,0,0,0,0.3333333333333333,0.2857142857142857,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.6666666666666667,3,derived_from_DR,,0.0,1
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,3,3,1.0,own,0,0,0,0,0.0,0.0,14.0,0,1,7,84.71428571428572,0,0,0.39999999999999997,3,2,Combined,9,18,Set2,0,0,0,0.25,0.42857142857142855,NewJersey4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,1.25,3,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,4,4,1.0,combined,0,0,0,0,0.0,0.0,18.0,0,1,7,100.0,0,0,0.3,3,2,Combined,10,22,Set2,0,0,0,0.2,0.42857142857142855,NewJersey4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1.1111111111111112,3,derived_from_DR,,0.0,0
LS1,6,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,T,3,3,1.0,own,1,0,0,1,1.0,0.5,2.0,0,1,7,100.0,0,0,0.2333333333333333,2,1,Combined,5,29,Set2,0,0,0,0.5,0.2857142857142857,NewJersey4,1,2,1,1,1,1,2,0,1,0,1,1,0,2,1,1,2,2.0,2,derived_from_DR,2,1.0,1
LS1,6,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,T,4,4,1.0,combined,1,0,0,1,1.0,0.5,4.0,0,1,7,100.0,0,0,0.2333333333333333,3,1,Combined,6,57,Set2,0,0,0,0.5,0.2857142857142857,NewJersey4,1,2,1,1,1,1,2,0,1,0,1,1,0,3,1,1,3,1.6,3,derived_from_DR,2,1.0,1
LS1,5,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,3,3,1.0,own,1,0,0,1,1.0,0.5,2.0,0,1,6,100.0,0,0,0.2333333333333333,2,1,Combined,5,29,Set2,0,0,0,0.5,0.5,NewJersey4,0,2,1,0,1,1,2,0,1,0,1,1,0,2,1,1,2,1.5,2,derived_from_DR,2,1.0,0
LS1,5,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,5,5,1.0,combined,1,0,0,1,1.0,0.5,4.0,0,1,6,100.0,0,0,0.2333333333333333,3,1,Combined,8,57,Set2,0,0,0,0.5,0.5,NewJersey4,0,2,1,0,3,1,2,0,1,0,1,1,0,3,1,1,3,0.8571428571428571,3,derived_from_DR,2,1.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,3,3,1.0,own,0,0,0,0,0.0,0.0,9.0,0,1,6,87.49999999999999,0,0,0.3333333333333333,2,1,Combined,7,12,Set2,0,0,0,0.3333333333333333,0.5,NewJersey4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1.3333333333333333,2,derived_from_DR,,0.0,2
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,5,5,1.0,combined,0,0,0,0,0.0,0.0,6.0,0,1,6,100.0,0,0,0.2333333333333333,2,1,Combined,7,9,Set2,0,0,0,0.25,0.5,NewJersey4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1.3333333333333333,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,3,3,1.0,own,1,0,0,0,0.0,0.0,3.0,0,1,6,100.0,0,0,0.27777777777777773,1,1,Combined,5,5,Set2,0,0,0,0.3333333333333333,0.5,NewJersey4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2.0,1,derived_from_DR,,0.0,1
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,5,5,1.0,combined,1,0,0,0,0.0,0.0,6.0,0,1,6,100.0,0,0,0.27777777777777773,1,1,Combined,6,8,Set2,0,0,0,0.3333333333333333,0.5,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1.6,1,derived_from_DR,,0.0,1
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,3,3,1.0,own,1,0,0,0,0.0,0.0,10.0,0,1,6,100.0,0,0,0.27777777777777773,1,1,Combined,7,12,Set2,0,0,0,0.25,0.5,NewJersey4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1.3333333333333333,1,derived_from_DR,,0.0,1
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,5,5,1.0,combined,1,0,0,0,0.0,0.0,7.0,0,1,6,100.0,0,0,0.27777777777777773,1,1,Combined,7,9,Set2,0,0,0,0.25,0.5,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1.3333333333333333,1,derived_from_DR,,0.0,1
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,3,3,1.0,own,0,0,0,0,0.0,0.0,15.0,0,1,6,77.74999999999999,0,0,0.3,2,1,Combined,9,18,Set2,0,0,0,0.25,0.5,NewJersey4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,5,5,1.0,combined,0,0,0,0,0.0,0.0,19.0,0,1,6,100.0,0,0,0.20000000000000004,2,1,Combined,9,22,Set2,0,0,0,0.2,0.5,NewJersey4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1.0,2,derived_from_DR,,0.0,0
LS1,5,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,T,3,3,1.0,own,1,0,0,0,1.0,0.5,3.0,0,1,6,100.0,0,0,0.27777777777777773,1,1,Combined,5,29,Set2,0,0,0,0.3333333333333333,0.5,NewJersey4,1,2,1,1,0,1,2,0,1,0,1,1,0,1,1,1,1,1.5,1,derived_from_DR,2,1.0,1
LS1,5,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,T,5,5,1.0,combined,1,0,0,0,1.0,0.5,6.0,0,1,6,100.0,0,0,0.27777777777777773,1,1,Combined,6,57,Set2,0,0,0,0.3333333333333333,0.5,NewJersey4,1,2,1,1,1,1,2,0,1,0,1,1,0,1,1,1,1,1.2,1,derived_from_DR,2,1.0,1
LS1,7,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,3,3,1.0,own,1,0,0,1,1.0,0.5,2.0,0,1,7,100.0,0,0,0.3,5,2,Combined,5,29,Set1,0,0,0,0.5,0.42857142857142855,NewJersey4,0,2,1,0,1,1,2,0,1,0,1,1,0,2,1,1,2,2.25,2,derived_from_DR,2,1.0,1
LS1,7,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,4,4,0.8333333333333334,combined,1,0,0,1,1.0,0.5,4.0,0,1,7,100.0,0,0,0.2333333333333333,4,3,Combined,8,57,Set1,0,0,0,0.5,0.42857142857142855,NewJersey4,0,2,1,0,3,1,2,0,1,0,1,1,0,3,1,1,3,1.2857142857142858,3,derived_from_DR,2,1.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,3,3,1.0,own,0,0,0,1,0.0,0.0,9.0,0,1,7,84.7142857142857,0,0,0.3333333333333333,2,2,Combined,7,12,Set1,0,0,0,0.3333333333333333,0.42857142857142855,NewJersey4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1.8333333333333333,2,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,4,4,0.8333333333333334,combined,0,0,0,1,0.0,0.0,5.0,0,1,7,100.0,0,0,0.47222222222222215,3,2,Combined,7,9,Set1,0,0,0,0.3333333333333333,0.2857142857142857,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.8333333333333333,3,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,3,3,1.0,own,1,0,0,1,0.0,0.0,2.0,0,1,7,100.0,0,0,0.5,2,1,Combined,5,5,Set1,0,0,0,0.5,0.2857142857142857,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.75,2,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,C,4,4,0.8333333333333334,combined,1,0,0,1,0.0,0.0,4.0,0,1,7,100.0,0,0,0.5,3,1,Combined,6,8,Set1,0,0,0,0.5,0.2857142857142857,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,2.2,3,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,3,3,1.0,own,0,0,0,1,0.0,0.0,9.0,0,1,7,85.40873015873015,0,0,0.47222222222222215,2,1,Combined,7,12,Set1,0,0,0,0.3333333333333333,0.42857142857142855,NewJersey4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1.8333333333333333,2,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,D,4,4,0.8333333333333334,combined,0,0,0,1,0.0,0.0,5.0,0,1,7,100.0,0,0,0.37222222222222223,3,1,Combined,7,9,Set1,0,0,0,0.3333333333333333,0.2857142857142857,NewJersey4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.8333333333333333,3,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,3,3,1.0,own,0,0,0,1,0.0,0.0,14.0,0,1,7,100.0,0,0,0.4666666666666666,4,3,Combined,11,18,Set1,0,0,0,0.2,0.42857142857142855,NewJersey4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1.1,3,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,E,4,4,0.8333333333333334,combined,0,0,0,1,0.0,0.0,17.0,0,1,7,75.6531746031746,0,0,0.27777777777777773,4,4,Combined,11,22,Set1,0,0,0,0.25,0.42857142857142855,NewJersey4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,4,1.1,4,derived_from_DR,,0.0,1
LS1,7,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,T,3,3,1.0,own,1,0,0,1,1.0,0.5,2.0,0,1,7,100.0,0,0,0.5,2,1,Combined,5,29,Set1,0,0,0,0.5,0.2857142857142857,NewJersey4,1,2,1,1,1,1,2,0,1,0,1,1,0,2,1,1,2,2.25,2,derived_from_DR,2,1.0,1
LS1,7,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,T,4,4,0.8333333333333334,combined,1,0,0,1,1.0,0.5,4.0,0,1,7,100.0,0,0,0.5,3,1,Combined,6,57,Set1,0,0,0,0.5,0.2857142857142857,NewJersey4,1,2,1,1,1,1,2,0,1,0,1,1,0,3,1,1,3,1.8,3,derived_from_DR,2,1.0,1
LS1,6,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,3,3,1.0,own,1,0,0,1,1.0,0.5,2.0,0,1,6,100.0,0,0,0.3,2,2,Combined,5,29,Set1,0,0,0,0.5,0.5,NewJersey4,0,2,1,0,1,1,2,0,1,0,1,1,0,2,1,1,2,1.75,2,derived_from_DR,2,1.0,1
LS1,6,0,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,66,0,1,0,66,66,A,4,4,1.0,combined,1,0,0,1,1.0,0.5,4.0,0,1,6,100.0,0,0,0.3,3,2,Combined,8,57,Set1,0,0,0,0.5,0.5,NewJersey4,0,2,1,0,3,1,2,0,1,0,1,1,0,3,1,1,3,1.0,3,derived_from_DR,2,1.0,1
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,3,3,1.0,own,0,0,0,0,0.0,0.0,9.0,0,1,6,83.44444444444443,0,0,0.2222222222222222,2,2,Combined,7,12,Set1,0,0,0,0.3333333333333333,0.5,NewJersey4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1.5,2,derived_from_DR,,0.0,1
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Combined,0,-1,Draw1,,0,0,0,,,B,4,4,1.0,combined,0,0,0,0,0.0,0.0,6.0,0,1,6,100.0,0,0,0.3333333333333333,2,2,Combined,7,9,Set1,0,0,0,0.25,0.5,NewJersey4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1.5,2,derived_from_DR,,0.0,1
